Municipality,province,inhabitants,Year,Total Revenues,Taxes and Duties,Extra-Tax Revenues,External Public Funding,Loans,Custodial Revenues,Capital Transfers,Revenues from Reduction of Financial Activities,Capital Revenues
ARPINO,FR,6898.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRANCALEONE,RC,3314.0,2020,29257897.0,4719929.0,3595965.0,4866312.0,97657.0,10843252.0,927122.0,0.0,4207661.0
ALTILIA,CS,671.0,2020,6100997.0,346804.0,131050.0,819118.0,726108.0,2540231.0,209721.0,0.0,1327964.0
SANTA DOMENICA VITTORIA,ME,871.0,2020,,0.0,0.0,0.0,0.0,,0.0,,
BENESTARE,RC,2469.0,2020,14055847.0,1248081.0,1441078.0,500000.0,107735.0,2657341.0,3070357.0,0.0,5031254.0
AIDONE,EN,4389.0,2020,,0.0,0.0,0.0,0.0,,0.0,,
ISPICA,RG,16127.0,2020,,0.0,0.0,0.0,0.0,,0.0,,
TRABIA,PA,10279.0,2020,,0.0,0.0,0.0,0.0,,0.0,,
ACQUAPPESA,CS,1743.0,2021,,0.0,0.0,0.0,0.0,,0.0,,
SANT'AGATA DI ESARO,CS,1715.0,2021,,0.0,0.0,0.0,0.0,,0.0,,
MANIACE,CT,3768.0,2021,,0.0,0.0,0.0,0.0,,0.0,,
DECOLLATURA,CZ,2920.0,2021,9052899.0,2073227.0,562476.0,500000.0,199970.0,755000.0,748542.0,0.0,4213684.0
MILITELLO ROSMARINO,ME,1174.0,2021,,0.0,0.0,0.0,0.0,,0.0,,
MONGIARDINO LIGURE,AL,154.0,2021,488866.0,160390.0,12418.0,0.0,0.0,40592.0,31437.0,0.0,244028.0
BISIGNANO,CS,9614.0,2021,36585846.0,7160290.0,1060805.0,12146111.0,0.0,12527758.0,878767.0,0.0,2812115.0
TAORMINA,ME,10473.0,2021,,0.0,0.0,0.0,0.0,,0.0,,
SERRA SAN BRUNO,VV,6355.0,2021,,0.0,0.0,0.0,0.0,,0.0,,
AMOROSI,BN,2641.0,2021,10374634.0,1743461.0,475063.0,2186334.0,0.0,4162635.0,1025279.0,0.0,781862.0
TORA E PICCILLI,CE,792.0,2021,,0.0,0.0,0.0,0.0,,0.0,,
BARRAFRANCA,EN,,2021,,0.0,0.0,0.0,0.0,,0.0,,
FLORIDIA,SR,21471.0,2021,,0.0,0.0,0.0,0.0,,0.0,,
CASIGNANA,RC,707.0,2021,,0.0,0.0,0.0,0.0,,0.0,,
